id_unique;stocking_bs_jp;id_fire;time_since_fire;latitude;longitude;seasonality_real_date;seasonality_adjusted;CBI;sphagnum_cover;ericaceous_cover;rom_med;age;basal_area_prefire_bs;prefire_bs_proportion;seedlings_ha_bs;seedlings_ha_jp;seedlings_ha_bl
2017199512;0;1995_1;22;50.24879998;-70.97427992;1995-08-11;105;2.458049259;2.197802198;64.8148148;180;197;13.13534273;100;0;0;0
20192005R036;0;2005_1;14;50.01966;-73.22733;2005-06-06;38;2.131119514;0;24.0740741;76.66666667;91;5.16691439;56.9748698;0;1500;0
20192005R010;0;2005_2;14;50.50227;-72.603;2005-06-03;39;2.340567272;2.197802198;55.5555556;267.5;121;10.12755335;100;0;0;0
20192005P032;0;2005_2;14;50.50823;-72.59772;2005-06-03;38;2.613731663;0;73.1481481;200;89;13.21833108;100;0;0;0
20192005P045;0;2005_2;14;50.48655;-72.62847;2005-06-02;39;2.183697263;0;27.7777778;84;85;4.751816493;88.76695044;0;500;0
20192005P018;0;2005_3;14;50.263;-72.35689;2005-06-03;34;2.610222234;0;42.5925926;120;85;11.04264127;64.68541765;0;0;250
20192005X007;0;2005_3;14;50.25102;-72.36091;2005-06-03;34;2.595723049;0;51.8518519;208;142;14.90819082;99.93023408;0;0;0
20192005P013;0;2005_3;14;50.24625;-72.36194;2005-06-03;34;2.595373386;0;49.0740741;180;147;18.80178537;93.66020961;0;0;0
20192005X011;0;2005_3;14;50.24357;-72.35616;2005-06-03;34;2.621437305;0;32.4074074;165;141;19.30350327;91.57704755;0;250;0
20192005P048;0;2005_3;14;50.24774;-72.36187;2005-06-03;34;2.232188826;1.098901099;38.8888889;105;143;7.15717246;73.67792116;0;500;0
20182005D064;0;2005_4;13;50.32951;-72.05754;2005-06-04;38;2.487899425;0;15.7407407;90;83;3.683862582;79.93055043;0;250;0
20182005D081;0;2005_4;13;50.2799;-72.13114;2005-06-05;45;2.338934212;1.098901099;50.9259259;150;105.5;8.986121511;82.13892456;0;250;0
20172005170;0;2005_5;12;51.10349;-71.014519;2005-06-04;57;1.306791113;0;40.7407407;120;261;3.18658537;100;0;0;0
20172005171;0;2005_5;12;51.104148;-71.015465;2005-06-04;57;1.859778832;0;59.2592593;160;261;3.728791334;100;0;0;0
20172005167;0;2005_5;12;51.102567;-71.015214;2005-06-04;58;1.459540781;0;59.2592593;118;298;8.106309607;100;0;0;0
20202005MB063;0;2005_6;15;50.56379;-68.76637;2005-06-02;45;2.121747733;2.197802198;25;132;193;8.635017077;60.16860649;0;0;500
20192007P059;0;2007_1;12;49.91045;-73.54732;2007-06-22;70;2.250529107;0;46.2962963;138.5;178;9.731634097;100;0;0;0
20192007P088;0;2007_4;12;50.64803;-70.16428;2007-06-19;70;2.036134337;0;17.5925926;133;232;1.687666901;77.0510943;0;0;0
20192007P070;0;2007_4;12;50.64537;-70.16579;2007-06-19;70;1.311774582;0;45.3703704;122.5;56.5;1.873273001;81.94193936;0;0;0
20192007P092;0;2007_4;12;50.5112;-70.15263;2007-06-16;68;1.843183711;0;93.5185185;244;184;3.493501682;100;0;0;0
20192007P071;0;2007_4;12;50.64464;-70.16582;2007-06-19;70;1.731441358;0;39.8148148;95;255.5;3.984357524;100;0;0;0
20192007P087;0;2007_4;12;50.64731;-70.1653;2007-06-19;70;1.713099448;0;55.5555556;150;213;4.398380211;100;0;0;0
20192007P090;0;2007_4;12;50.51053;-70.15481;2007-06-16;68;1.736722834;0;68.5185185;120;197;6.052833405;93.6973001;0;1500;0
20192007P081;0;2007_4;12;50.58438;-70.22707;2007-06-16;67;1.412511446;0;50;110;151;8.800612015;100;0;250;0
20182010F002;0;2010_1;8;50.70229;-71.79285;2010-06-22;88;2.131632366;0;7.4074074;80;109;3.619232161;83.0439414;0;250;0
20182010F058;0;2010_1;8;50.747771;-71.735221;2010-06-22;88;2.483832499;0;25.9259259;107;205;6.274710767;100;0;0;0
20182010F044;0;2010_1;8;50.72331;-71.67171;2010-06-24;90;2.116983036;0;37.962963;126;147;7.749089422;100;0;0;0
